iter	Passed	Remaining
409	4055	2868
410	4062	2856
411	4071	2845
412	4078	2834
413	4086	2823
414	4093	2811
415	4100	2799
416	4108	2787
417	4115	2776
418	4121	2764
419	4128	2752
420	4135	2740
421	4142	2729
422	4150	2717
423	4157	2706
424	4165	2695
425	4172	2683
426	4179	2672
427	4186	2660
428	4193	2649
429	4201	2638
430	4208	2626
431	4216	2615
432	4223	2604
433	4230	2592
434	4236	2581
435	4244	2570
436	4251	2558
437	4258	2547
438	4266	2536
439	4290	2535
440	4298	2524
441	4308	2515
442	4317	2504
443	4325	2493
444	4333	2483
445	4339	2471
446	4346	2460
447	4353	2448
448	4361	2438
449	4370	2428
450	4379	2418
451	4387	2407
452	4395	2396
453	4402	2385
454	4411	2375
455	4420	2365
456	4428	2354
457	4436	2343
458	4443	2332
459	4450	2321
460	4457	2310
461	4464	2299
462	4472	2289
463	4480	2278
464	4487	2267
465	4493	2256
466	4501	2246
467	4509	2235
468	4516	2224
469	4522	2213
470	4530	2202
471	4537	2192
472	4545	2181
473	4552	2170
474	4559	2159
475	4566	2148
476	4575	2138
477	4582	2128
478	4589	2117
479	4596	2106
480	4605	2096
481	4612	2085
482	4618	2075
483	4625	2064
484	4632	2053
485	4640	2043
486	4648	2033
487	4656	2022
488	4663	2012
489	4671	2001
490	4677	1991
491	4685	1980
492	4692	1970
493	4699	1959
494	4706	1949
495	4713	1938
496	4720	1928
497	4728	1917
498	4734	1907
499	4741	1896
500	4748	1886
501	4755	1875
502	4763	1865
503	4770	1855
504	4777	1844
505	4784	1834
506	4792	1824
507	4800	1814
508	4807	1803
509	4814	1793
510	4822	1783
511	4830	1773
512	4839	1764
513	4848	1754
514	4855	1744
515	4864	1734
516	4871	1724
517	4880	1714
518	4887	1704
519	4895	1694
520	4902	1684
521	4909	1674
522	4916	1663
523	4923	1653
524	4930	1643
525	4938	1633
526	4946	1623
527	4954	1614
528	4963	1604
529	4970	1594
530	4977	1584
531	4986	1574
532	4994	1564
533	5001	1554
534	5008	1544
535	5031	1539
536	5038	1529
537	5045	1519
538	5053	1509
539	5061	1499
540	5069	1489
541	5079	1480
542	5088	1471
543	5097	1461
544	5105	1452
545	5114	1442
546	5124	1433
547	5133	1423
548	5140	1413
549	5147	1403
550	5154	1393
551	5161	1383
552	5169	1374
553	5175	1363
554	5182	1353
555	5189	1343
556	5197	1334
557	5204	1324
558	5211	1314
559	5219	1304
560	5226	1294
561	5234	1285
562	5241	1275
563	5248	1265
564	5255	1255
565	5263	1246
566	5269	1236
567	5277	1226
568	5284	1216
569	5292	1207
570	5299	1197
571	5307	1187
572	5315	1178
573	5323	1168
574	5329	1158
575	5336	1148
576	5343	1139
577	5351	1129
578	5365	1121
579	5371	1111
580	5378	1101
581	5385	1091
582	5392	1082
583	5399	1072
584	5406	1062
585	5414	1053
586	5421	1043
587	5428	1034
588	5435	1024
589	5443	1014
590	5450	1005
591	5457	995
592	5463	985
593	5471	976
594	5478	966
595	5486	957
596	5493	947
597	5501	938
598	5509	928
599	5517	919
600	5525	910
601	5533	900
602	5540	891
603	5548	881
604	5555	872
605	5562	862
606	5568	853
607	5576	843
608	5584	834
609	5592	825
610	5600	815
611	5607	806
612	5616	797
613	5624	787
614	5632	778
615	5641	769
616	5649	759
617	5658	750
618	5665	741
619	5673	732
620	5680	722
621	5687	713
622	5695	703
623	5702	694
624	5710	685
625	5718	675
626	5726	666
627	5735	657
628	5743	648
629	5750	638
630	5758	629
631	5767	620
632	5775	611
633	5782	601
634	5790	592
635	5798	583
636	5806	574
637	5814	565
638	5821	555
639	5828	546
640	5837	537
641	5844	528
642	5851	518
643	5859	509
644	5867	500
645	5875	491
646	5883	481
647	5889	472
648	5897	463
649	5904	454
650	5911	444
651	5919	435
652	5927	426
653	5934	417
654	5941	408
655	5948	398
656	5956	389
657	5964	380
658	5971	371
659	5978	362
660	5985	353
661	5992	344
662	5999	334
663	6006	325
664	6013	316
665	6021	307
666	6029	298
667	6037	289
668	6045	280
669	6052	271
670	6060	261
671	6067	252
672	6075	243
673	6082	234
674	6090	225
675	6097	216
676	6106	207
677	6113	198
678	6120	189
679	6128	180
680	6138	171
681	6145	162
682	6153	153
683	6160	144
684	6167	135
685	6174	126
686	6182	116
687	6188	107
688	6195	98
689	6202	89
690	6208	80
691	6215	71
692	6222	62
693	6229	53
694	6236	44
695	6244	35
696	6252	26
697	6259	17
698	6266	8
699	6274	0
