iter	RMSE
661	19570.79714
662	19569.97426
663	19566.66602
664	19565.62651
665	19563.54736
666	19562.24881
667	19561.61491
668	19560.71674
669	19557.63992
670	19556.47582
671	19555.57726
672	19552.96741
673	19548.6775
674	19547.10773
675	19545.37899
676	19540.61826
677	19538.10245
678	19534.99049
679	19532.04957
680	19530.81307
681	19528.38675
682	19527.16433
683	19525.34304
684	19522.27701
685	19521.21639
686	19520.43844
687	19519.34526
688	19515.94981
689	19515.07023
690	19513.58936
691	19510.93516
692	19510.32634
693	19505.74527
694	19504.68319
695	19503.16064
696	19499.64183
697	19496.67018
698	19495.74443
699	19493.39474
